iter,loss,elapsed,q_bad_pre,qd_bad_pre,q_max_abs,q_max_norm,q_min,q_max,qd_max_abs,qd_max_norm,qd_min,qd_max,q_bad,qd_bad,spring_ke_bad,spring_ke_gbad,spring_kd_bad,spring_kd_gbad,spring_ke_min,spring_ke_max,spring_ke_mean,spring_ke_gmin,spring_ke_gmax,spring_ke_gmean,spring_kd_min,spring_kd_max,spring_kd_mean,spring_kd_gmin,spring_kd_gmax,spring_kd_gmean
1,0.001432,1.6148,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,13.650961875915527,17.391828536987305,-9.415614128112793,13.650961875915527,0,0,0,0,0,0,10000.001953125,38372.765625,21061.4296875,0.0,0.0,0.0,29.506242752075195,70.19999694824219,63.65122604370117,0.0,0.0,0.0
2,0.001502,1.6333,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,10.661006927490234,14.125283241271973,-10.661006927490234,10.24687385559082,0,0,0,0,0,0,10000.001953125,50000.0,28488.34765625,0.0,0.0,0.0,18.552799224853516,70.19999694824219,62.8009147644043,0.0,0.0,0.0
3,0.001457,1.6643,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,10.431133270263672,11.818669319152832,-10.431133270263672,8.078298568725586,0,0,0,0,0,0,10000.001953125,50000.0,31221.623046875,0.0,0.0,0.0,10.300000190734863,70.19999694824219,62.480934143066406,0.0,0.0,0.0
4,0.001464,1.6249,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,10.460993766784668,11.98204231262207,-10.460993766784668,7.96286153793335,0,0,0,0,0,0,10000.001953125,50000.0,32998.19921875,0.0,0.0,0.0,10.300000190734863,70.19999694824219,62.310333251953125,0.0,0.0,0.0
5,0.001464,1.6411,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,10.271066665649414,11.473892211914062,-9.28989028930664,10.271066665649414,0,0,0,0,0,0,10000.001953125,50000.0,33968.86328125,0.0,0.0,0.0,10.300000190734863,70.19999694824219,62.260746002197266,0.0,0.0,0.0
6,0.001411,1.6290,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,9.057726860046387,10.506550788879395,-8.765292167663574,9.057726860046387,0,0,0,0,0,0,10000.001953125,50000.0,34203.3828125,0.0,0.0,0.0,10.300000190734863,70.19999694824219,62.02676773071289,0.0,0.0,0.0
7,0.001400,1.6753,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,10.773880004882812,12.216289520263672,-10.773880004882812,8.826766967773438,0,0,0,0,0,0,10000.001953125,50000.0,35802.4296875,0.0,0.0,0.0,10.300000190734863,70.19999694824219,63.14384841918945,0.0,0.0,0.0
8,0.001588,1.6489,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,23.118057250976562,25.836681365966797,-11.810147285461426,23.118057250976562,0,0,0,0,0,0,10000.001953125,50000.0,37670.234375,0.0,0.0,0.0,10.300000190734863,70.19999694824219,63.05267333984375,0.0,0.0,0.0
9,0.001428,1.5708,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,21.014009475708008,24.140628814697266,-11.50356674194336,21.014009475708008,0,0,0,0,0,0,10000.001953125,50000.0,38018.09765625,0.0,0.0,0.0,10.300000190734863,70.19999694824219,61.817935943603516,0.0,0.0,0.0
10,0.001429,1.5750,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,15.270458221435547,17.14992332458496,-12.913588523864746,15.270458221435547,0,0,0,0,0,0,10000.001953125,50000.0,38719.31640625,0.0,0.0,0.0,10.300000190734863,70.19999694824219,62.19590377807617,0.0,0.0,0.0
11,0.001469,1.5748,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,8.750310897827148,11.618877410888672,-8.017254829406738,8.750310897827148,0,0,0,0,0,0,10000.001953125,50000.0,38402.58984375,0.0,0.0,0.0,10.300000190734863,70.19999694824219,60.733036041259766,0.0,0.0,0.0
12,0.001458,1.5697,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,11.541535377502441,14.008673667907715,-11.541535377502441,10.791183471679688,0,0,0,0,0,0,10000.001953125,50000.0,38551.86328125,0.0,0.0,0.0,10.300000190734863,70.19999694824219,60.45792007446289,0.0,0.0,0.0
13,0.001424,1.5818,0,0,0.3157272934913635,0.4220302402973175,-0.18724951148033142,0.3157272934913635,12.05431842803955,14.094752311706543,-11.665702819824219,12.05431842803955,0,0,0,0,0,0,10000.001953125,50000.0,39390.15625,0.0,0.0,0.0,10.300000190734863,70.19999694824219,61.40247344970703,0.0,0.0,0.0
